	root	e-	a-	o-	te-	ado-	ato-	akua-	...	∅-	be-	mensa-	di-	hora-	horayu-	sesa-	sesayu-	vita-	vitayu-	erma-	ermayu-	leka-	lekayu-	vente-	dorse-	ali-	respi-	denta-	kape-	senta-	digi-	pode-	rega-	sole-	vine-	wermi-	arte-	verte-	pose-	punte-		
	etymology										"English ""bel"", e.g. decibel"	"PIE *mehns- ""moon"""	"PIE *degw- ""day"""	"Latin hora, ""month"""	"PIE *yewg ""join"""	"Latin satio ""sowing"", cf. English ""season"""	"PIE *yewg ""join"""	"Latin vita, ""life"""	"PIE *yewg ""join"""	"PIE *erm- ""arm"""	"PIE *yewg ""join"""	"PIE *lek- ""leg"""	"PIE *yewg ""join"""																			
	-wo	number	multiplier	distributive		half	third	fourth	...	pronoun	order of magnitude	month	day	time of day		season		stage of life		arm		leg	leg joint	torso	spine	digestive tract	respiratory tract	teeth	sense organ²	sense²	finger	toe	ruler	planet	plant	invertebrate	arthropod	vertebrate	derivatives	shape		
"English ""zero"""	-zo	0									1																				palm	footpad	emperor	sun					position			
PIE *oinos	-no	1	single	sole		left	start	1/4	...	I	10	january	monday	morning	dawn	spring	spring equinox	baby	birth	upper arm	shoulder	thigh	hip	neck	nape	mouth	nostril	incisor	eye	sight	thumb	big	king	mercury	moss	coral	millipede	fish	speed	point		
PIE *duo	-do	2	double	halve		right	middle	2/4		you	100	february	tuesday	afternoon	noon	summer	summer solstice	child		forearm	elbow	calf	knee	chest	spine	throat	windpipe	canine	ear	hearing	index	second	duke	venus	fern	jellyfish	centipede	amphibian	acceleration	line		
PIE *treyes	-to	3	triple	third			end	3/4		he	thousand	march	wednesday	night	dusk	fall	fall equinox	adult	puberty	hand	wrist	foot	ankle	belly	lumbar	stomach	lung	premolar	nose	smell	middle	third	count	earth	conifer	worm	spider	reptile	jerk	triangle		
PIE *kwetwores	-kuo	4	...	...				4/4			...	april	thursday			winter	winter equinox	elder						groin	tail	guts		molar	skin	touch	ring	fourth	baron	mars	deciduous	mollusc	insect	bird		rectangle		
PIE *penkwe	-po	5										may	friday					dead	death							anus		wisdom	tongue	taste	pinky	pinky	lord	jupiter		arthropod		mammal		...		
PIE *sweks	-suo	6									million	june	saturday																					saturn								
PIE *septm	-so	7										july	sunday																					uranus								
PIE *okto	-ko	8										august																						neptune								
PIE *hneun	-nuo	9									billion	september																														
	-nozo	10										october																													² ordered by distance of perception	
	-nono	11										november																														
	-nodo	12									trillion	december																														
		...																																								
PIE *monogo	-mo	many																																								
																																										
